mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing
1.26395608076e+13,1327136504.0,232994.28125,311748.65625,8.1999998093,230.5,14.8655834198,-26.8536624908,-1.0
1.26395608076e+13,1327136504.0,232994.28125,311748.65625,8.1999998093,230.5,14.8655834198,-26.8536624908,-1.0
1.26395608076e+13,1327136605.0,233994.265625,312410.34375,7.3000001907,238.399993897,14.8638696671,-26.8568000793,-1.0
1.26395608076e+13,1327136605.0,233994.265625,312410.34375,7.3000001907,238.399993897,14.8638696671,-26.8568000793,-1.0
1.26395608076e+13,1327136734.0,233994.265625,312410.34375,6.8000001907,238.899993897,14.8615512848,-26.8606491089,-1.0
1.26395608076e+13,1327136734.0,233994.265625,312410.34375,6.8000001907,238.899993897,14.8615512848,-26.8606491089,-1.0
1.26395608076e+13,1327143281.0,233994.265625,315417.375,6.9000000954,251.800003052,14.8226861954,-26.8658981323,-1.0
1.26395608076e+13,1327143281.0,233994.265625,315417.375,6.9000000954,251.800003052,14.8226861954,-26.8658981323,-1.0
1.26395608076e+13,1327143341.0,233996.390625,316172.5625,6.0999999046,231.100006103,14.8218250275,-26.8675785065,-1.0
1.26395608076e+13,1327143341.0,233996.390625,316172.5625,6.0999999046,231.100006103,14.8218250275,-26.8675785065,-1.0
1.26395608076e+13,1327143411.0,233996.390625,316172.5625,6.9000000954,242.699996948,14.8206520081,-26.8694591522,-1.0
1.26395608076e+13,1327143411.0,233996.390625,316172.5625,6.9000000954,242.699996948,14.8206520081,-26.8694591522,-1.0
1.26395608076e+13,1327146440.0,246124.015625,329350.375,7.5,225.399993897,14.7621097565,-26.9703941345,-1.0
1.26395608076e+13,1327146440.0,246124.015625,329350.375,7.5,225.399993897,14.7621097565,-26.9703941345,-1.0
1.26395608076e+13,1327149860.0,259487.375,343997.375,8.8999996185,237.199996948,14.6944980621,-27.085395813,-1.0
1.26395608076e+13,1327149860.0,259487.375,343997.375,8.8999996185,237.199996948,14.6944980621,-27.085395813,-1.0
1.26395608076e+13,1327149911.0,259487.375,343997.375,8.5,246.800003052,14.693447113,-27.0871658325,-1.0
1.26395608076e+13,1327149911.0,259487.375,343997.375,8.5,246.800003052,14.693447113,-27.0871658325,-1.0
1.26395608076e+13,1327156390.0,286567.5625,371996.25,9.1999998093,223.699996948,14.5646867752,-27.3201599121,-1.0
1.26395608076e+13,1327156390.0,286567.5625,371996.25,9.1999998093,223.699996948,14.5646867752,-27.3201599121,-1.0
1.26395608076e+13,1327156670.0,287668.125,373410.1875,8.3999996185,251.699996948,14.5589132309,-27.3299541473,-1.0
1.26395608076e+13,1327156670.0,287668.125,373410.1875,8.3999996185,251.699996948,14.5589132309,-27.3299541473,-1.0
1.26395608076e+13,1327156760.0,287668.125,373410.1875,7.8000001907,223.0,14.5569667816,-27.3332309723,-1.0
1.26395608076e+13,1327156760.0,287668.125,373410.1875,7.8000001907,223.0,14.5569667816,-27.3332309723,-1.0
1.26395608076e+13,1327163041.0,313534.96875,401629.28125,9.0,241.600006103,14.4274549484,-27.5434112549,-1.0
1.26395608076e+13,1327163041.0,313534.96875,401629.28125,9.0,241.600006103,14.4274549484,-27.5434112549,-1.0
1.26395608076e+13,1327169801.0,336208.9375,424989.5625,3.2000000477,208.600006103,14.3212747574,-27.7283115387,-1.0
1.26395608076e+13,1327169801.0,336208.9375,424989.5625,3.2000000477,208.600006103,14.3212747574,-27.7283115387,-1.0
1.26395608076e+13,1327222541.0,293579.25,393876.09375,2.0999999046,325.0,14.3296766281,-27.3515529633,-1.0
1.26395608076e+13,1327222541.0,293579.25,393876.09375,2.0999999046,325.0,14.3296766281,-27.3515529633,-1.0
1.26395608076e+13,1327228870.0,297267.0,388336.96875,7.0,334.299987793,14.4426765442,-27.4042453766,-1.0
1.26395608076e+13,1327228870.0,297267.0,388336.96875,7.0,334.299987793,14.4426765442,-27.4042453766,-1.0
1.26395608076e+13,1327228948.0,298256.0,389025.15625,7.4000000954,351.5,14.4453248978,-27.4052867889,-1.0
1.26395608076e+13,1327228948.0,298256.0,389025.15625,7.4000000954,351.5,14.4453248978,-27.4052867889,-1.0
1.26395608076e+13,1327229008.0,298256.0,389025.15625,8.3000001907,331.399993897,14.4473552704,-27.4059524536,-1.0
1.26395608076e+13,1327229008.0,298256.0,389025.15625,8.3000001907,331.399993897,14.4473552704,-27.4059524536,-1.0
1.26395608076e+13,1327231660.0,299925.96875,383950.21875,8.0,14.5,14.5326385498,-27.4348430634,-1.0
1.26395608076e+13,1327231660.0,299925.96875,383950.21875,8.0,14.5,14.5326385498,-27.4348430634,-1.0
1.26395608076e+13,1327231989.0,298820.375,382536.03125,6.0,84.0,14.5408401489,-27.4326953888,-1.0
1.26395608076e+13,1327231989.0,298820.375,382536.03125,6.0,84.0,14.5408401489,-27.4326953888,-1.0
1.26395608076e+13,1327237268.0,300300.8125,380437.78125,6.9000000954,18.2000007629,14.5864667892,-27.4451961517,-1.0
1.26395608076e+13,1327237268.0,300300.8125,380437.78125,6.9000000954,18.2000007629,14.5864667892,-27.4451961517,-1.0
1.26395608076e+13,1327242119.0,295482.15625,369921.96875,5.0999999046,30.2999992371,14.6878271103,-27.4166908264,-1.0
1.26395608076e+13,1327242119.0,295482.15625,369921.96875,5.0999999046,30.2999992371,14.6878271103,-27.4166908264,-1.0
1.26395608076e+13,1327242269.0,295426.34375,369233.40625,1.7000000477,325.299987793,14.6905078888,-27.415435791,-1.0
1.26395608076e+13,1327242269.0,295426.34375,369233.40625,1.7000000477,325.299987793,14.6905078888,-27.415435791,-1.0
1.26395608076e+13,1327248589.0,289020.59375,356653.53125,6.8000001907,348.799987793,14.7987565994,-27.3617858887,-1.0
1.26395608076e+13,1327248589.0,289020.59375,356653.53125,6.8000001907,348.799987793,14.7987565994,-27.3617858887,-1.0
1.26395608076e+13,1327248630.0,289020.59375,356653.53125,7.8000001907,345.700012207,14.8000717163,-27.3618164062,-1.0
1.26395608076e+13,1327248630.0,289020.59375,356653.53125,7.8000001907,345.700012207,14.8000717163,-27.3618164062,-1.0
1.26395608076e+13,1327248849.0,289008.46875,355975.8125,6.5,1.7999999523,14.8074398041,-27.3620910645,-1.0
1.26395608076e+13,1327248849.0,289008.46875,355975.8125,6.5,1.7999999523,14.8074398041,-27.3620910645,-1.0
1.26395608076e+13,1327334360.0,328432.1875,394484.90625,9.1000003815,257.0,14.6837415695,-27.7070140839,-1.0
1.26395608076e+13,1327334360.0,328432.1875,394484.90625,9.1000003815,257.0,14.6837415695,-27.7070140839,-1.0
1.26395608076e+13,1327393780.0,378520.78125,443254.28125,5.3000001907,62.7999992371,14.5321331024,-28.1456642151,-1.0
1.26395608076e+13,1327393780.0,378520.78125,443254.28125,5.3000001907,62.7999992371,14.5321331024,-28.1456642151,-1.0
1.26395608076e+13,1327400270.0,363232.0625,428998.8125,7.6999998093,101.199996948,14.566742897,-28.0121803284,-1.0
1.26395608076e+13,1327400270.0,363232.0625,428998.8125,7.6999998093,101.199996948,14.566742897,-28.0121803284,-1.0
1.26395608076e+13,1327400289.0,363232.0625,428998.8125,7.1999998093,103.199996948,14.5666351318,-28.0115871429,-1.0
1.26395608076e+13,1327400289.0,363232.0625,428998.8125,7.1999998093,103.199996948,14.5666351318,-28.0115871429,-1.0
1.26395608076e+13,1327406720.0,347289.625,416625.125,4.5999999046,168.899993897,14.5698451996,-27.8748168945,-1.0
1.26395608076e+13,1327406720.0,347289.625,416625.125,4.5999999046,168.899993897,14.5698451996,-27.8748168945,-1.0
